project,result,command
cream,TRUE,python3 defi_tainter.py -bp ETH -la 0xd06527d5e56a3495252a528c4987003b712860ee -sa 0xd06527d5e56a3495252a528c4987003b712860ee -fs 0xc5ebeaec -bn 13499798
ploutoz finance,FALSE,python3 defi_tainter.py -bp BSC -la 0x8e9654f15ee934edab16350e933577e0f9566d27 -sa 0x27b6031e9cbb9a383acf2f7d7168ba052ccaecfb -fs 0x2ea295fa -bn 12886417
inverseFinance,FALSE,python3 defi_tainter.py -bp ETH -la 0x7fcb7dac61ee35b3d4a51117a7c58d53f0a8a670 -sa 0x7fcb7dac61ee35b3d4a51117a7c58d53f0a8a670 -fs 0xc5ebeaec -bn 14506359
loser coin,TRUE,python3 defi_tainter.py -bp BSC -la 0x03d9a687c0dab6f68bbee8179a50f8ead60b4959 -sa 0x03d9a687c0dab6f68bbee8179a50f8ead60b4959 -fs 0x42966c68 -bn 17796957
pandoraDAO,FALSE,python3 defi_tainter.py -bp BSC -la 0x83757110409d993fcf3610260d7af753e2423529 -sa 0x83757110409d993fcf3610260d7af753e2423529 -fs 0x68ff91e3 -bn 18907350
Plantworld token,FALSE,python3 defi_tainter.py -bp BSC -la 0x29b2525e11bc0b0e9e59f705f318601ea6756645 -sa 0x29b2525e11bc0b0e9e59f705f318601ea6756645 -fs 0xa9059cbb -bn 22252046
helio money,FALSE,python3 defi_tainter.py -bp BSC -la 0xf876cd244e7baa0a31e4a7a842f4530d040931e6 -sa 0xb68443ee3e828bad1526b3e0bdf2dfc6b1975ec4 -fs 0x4b8a3529 -bn 23546603
Firedrake Protocol,FALSE,python3 defi_tainter.py -bp BSC -la 0x1954b6bd198c29c3ecf2d6f6bc70a4d41ea1cc07 -sa 0x1954b6bd198c29c3ecf2d6f6bc70a4d41ea1cc07 -fs 0x2d838119 -bn 25430419
DAYUDAO,FALSE,python3 defi_tainter.py -bp BSC -la 0xc7e40C93b15456Aab953E317c354D6604bE8063d -sa 0xc7e40C93b15456Aab953E317c354D6604bE8063d -fs 0x691b1f65 -bn 25467274
DeFiGeek community,FALSE,python3 defi_tainter.py -bp ETH -la 0xbDADDC6a1321Ed458b53aB9e51DC0De8dba78D43 -sa 0x6d8260fFf752bA01bCF76C919e9E3D328971152E -fs 0xc5ebeaec -bn 17066755
Never Fall,TRUE,python3 defi_tainter.py -bp BSC -la 0x5abde8b434133c98c36f4b21476791d95d888bf5 -sa 0x5abde8b434133c98c36f4b21476791d95d888bf5 -fs 0xe4849b32 -bn 27863178
CellFrame Network,TRUE,python3 defi_tainter.py -bp BSC -la 0xb4e47c13db187d54839cd1e08422af57e5348fc1 -sa 0xb4e47c13db187d54839cd1e08422af57e5348fc1 -fs 0x454b0608 -bn 28708274
Compounder Finance,FALSE,python3 defi_tainter.py -bp ETH -la 0x45f783cce6b7ff23b2ab2d70e416cdb7d6055f51 -sa 0x45f783cce6b7ff23b2ab2d70e416cdb7d6055f51 -fs 0x3df02124 -bn 17426065
PalmSwap,TRUE,python3 defi_tainter.py -bp BSC -la 0xa68f4b2c69c7f991c3237ba9b678d75368ccff8f -sa 0x6876b9804719d8d9f5aeb6ad1322270458fa99e0 -fs 0xe5209bc1 -bn 30248638
Zunami Protocol,FALSE,python3 defi_tainter.py -bp ETH -la 0xb40b6608b2743e691c9b54ddbdee7bf03cd79f1c -sa 0xb40b6608b2743e691c9b54ddbdee7bf03cd79f1c -fs 0xd341ea79 -bn 17908950
Black Hole Token,TRUE,python3 defi_tainter.py -bp BSC -la 0x8ca7835aa30b025b38a59309dd1479d2f452623a -sa 0x8ca7835aa30b025b38a59309dd1479d2f452623a -fs 0x4e290832 -bn 32512074
Platypus Defi,FALSE,python3 defi_tainter.py -bp Avalanche -la 0xe5c84c7630a505b6adf69b5594d0ff7fedd5f447 -sa 0x4658ea7e9960d6158a261104aaa160cc953bb6ba -fs 0x09a5fca3 -bn 36346389
